Plant,Branch
1071,BURERA
1084,GAKENKE
1073,GATSIBO
1086,GICUMBI
1075,GISAGARA
1098,HUYE
1083,KAMONYI
1087,KARONGI
1096,KAYONZA
1000,RMS HQ
7000,KIGALI
1002,ZIPLINE
1079,KIREHE
1088,MUHANGA
1100,MUSANZE
1076,NGOMA
1085,NGORORERO
1097,NYABIHU
1081,NYAGATARE
1080,NYAMAGABE
1094,NYAMASHEKE
1089,NYANZA
1074,NYARUGURU
1091,RUBAVU
1072,RUHANGO
1082,RULINDO
1099,RUSIZI
1093,RUTSIRO
1078,RWAMAGANA
